Components,Zi,Wi,SG,MW,,,,,,,,,,
Hydrogen Sulfide,0,0,0.8006,34.08,,0,,,,,,,,
Carbon dioxide,0.043839523,0.01476887,0.8172,44.01,,1.929377407,,,,,,,,
Nitrogen,0.22426298,0.048089171,0.8086,28.013,,6.282278859,,,,,,,,
Methane,36.98187913,4.541555589,0.2997,16.043,,593.3002869,,,,,,,,
Ethane,9.344025959,2.150787682,0.35584,30.07,,280.9748606,,,,,,,,
Propane,7.112686153,2.400892785,0.50648,44.097,,313.6481213,,,,,,,,
Iso-Butane,1.822553402,0.810883308,0.56231,58.123,,105.9322714,,,,,,,,
N-Butane,2.656948217,1.182118975,0.58343,58.123,,154.4298012,,,,,,,,
Iso-Pentane,1.226071497,0.677145829,0.62408,72.15,,88.46105851,,,,,,,,
N-Pentane,1.019670042,0.563152571,0.63049,72.15,,73.56919353,,,,,,,,
Hexanes,1.821636933,1.171308204,0.663,84,,153.0175024,,,,,,,,
Heptanes,2.506408853,1.841845617,0.6875,96,,240.6152499,,,,,,,,
Octanes,3.924536923,3.214417421,0.7063,107,,419.9254508,,,,,,,,
Nonanes,2.918504661,2.703185427,0.7212,121,,353.139064,,,,,,,,
Decanes,2.458346761,2.521610572,0.7335,134,,329.418466,,,,,,,,
Undecanes,1.723251316,1.939081351,0.7442,147,,253.3179435,,,,,,,,
Dodecanes,1.210184704,1.491446267,0.752,161,,194.8397373,,,,,,,,
Tridecanes,1.14576077,1.534836339,0.76,175,,200.5081348,,,,,,,,
Tetradecanes,1.011036654,1.47045107,0.7663,190,,192.0969643,,,,,,,,
Pentadecanes,1.447278765,2.282177852,0.7723,206,,298.1394256,,,,,,,,
Hexadecanes,1.30441301,2.216655343,0.7758,222,,289.5796882,,,,,,,,
Heptadecanes,1.099086236,1.993931301,0.7803,237,,260.4834379,,,,,c7 mas,11292.26731,,299.1612309
Octadecanes,1.170914564,2.249722778,0.7853,251,,293.8995556,,,,,,0.86439297,,
Nonadecanes,0.843385317,1.697899032,0.7893,263,,221.8103384,,,,,,,,
Eicosanes Plus,14.98331763,59.28203665,0.948673674,516.8744365,,7744.493857,,,,,,,,
,100,100,,,,13063.81207,,,,,,,,
,,,,,,,,,,,,,,
,37.74642616,86.43929702,,,,,,,,,,,,
